query_text,application_type,spec_json
"Report anomaly detection core temperature salinity in bbox lon[-80,0] lat[0,65] during 2021 pressure up to 2000 dbar including real-time data (warn on low QC).",anomaly_detection_core_temperature_salinity,"{'application_type': 'anomaly_detection_core_temperature_salinity', 'region_mode': 'bbox', 'bbox': [-80, 0, 0, 65], 'time_mode': 'year', 'year': 2021, 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 2000, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
Report thermocline depth index in the Indian Ocean during 2020 down to 200m including real-time data (warn on low QC).,thermocline_depth_index,"{'application_type': 'thermocline_depth_index', 'region_mode': 'named', 'region_name': 'Indian Ocean', 'time_mode': 'year', 'year': 2020, 'depth_mode': 'max_depth_m', 'max_depth_m': 200, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
Find floats/profiles in the North Atlantic from 2022-01 to 2022-02 that match: strong stratification and warm subsurface.,semantic_retrieval_floats_profiles,"{'application_type': 'semantic_retrieval_floats_profiles', 'region_mode': 'named', 'region_name': 'North Atlantic', 'time_mode': 'range', 'start': '2022-01-01', 'end': '2022-02-28', 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 1000, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
Investigate search and rescue drift support in the North Atlantic during 2020 down to 1000m including real-time data (warn on low QC).,search_and_rescue_drift_support,"{'application_type': 'search_and_rescue_drift_support', 'region_mode': 'named', 'region_name': 'North Atlantic', 'time_mode': 'year', 'year': 2020, 'depth_mode': 'max_depth_m', 'max_depth_m': 1000, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
Compute anomaly detection core temperature salinity in the South Atlantic from 2022-10 to 2022-12 down to 200m using adjusted/delayed-mode data only.,anomaly_detection_core_temperature_salinity,"{'application_type': 'anomaly_detection_core_temperature_salinity', 'region_mode': 'named', 'region_name': 'South Atlantic', 'time_mode': 'range', 'start': '2022-10-01', 'end': '2022-12-28', 'depth_mode': 'max_depth_m', 'max_depth_m': 200, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
"Estimate hurricane ocean initialization metrics in bbox lon[-80,0] lat[0,65] during 2020 down to 1000m using adjusted/delayed-mode data only.",hurricane_ocean_initialization_metrics,"{'application_type': 'hurricane_ocean_initialization_metrics', 'region_mode': 'bbox', 'bbox': [-80, 0, 0, 65], 'time_mode': 'year', 'year': 2020, 'depth_mode': 'max_depth_m', 'max_depth_m': 1000, 'qc_policy': 'prefer_adjusted', 'required_variables': ['TEMP', 'SAL', 'PRES'], 'derived_indicators': ['upper_ocean_heat_content_proxy', 'mld', 'stratification']}"
"Investigate oil spill transport forecast inputs in bbox lon[-80,0] lat[0,65] from 2025-02 to 2025-03 down to 700m using adjusted/delayed-mode data only.",oil_spill_transport_forecast_inputs,"{'application_type': 'oil_spill_transport_forecast_inputs', 'region_mode': 'bbox', 'bbox': [-80, 0, 0, 65], 'time_mode': 'range', 'start': '2025-02-01', 'end': '2025-03-28', 'depth_mode': 'max_depth_m', 'max_depth_m': 700, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
"Analyze harmful algal bloom hab support in bbox lon[20,120] lat[-50,25] from 2021-01 to 2021-02 pressure up to 1000 dbar using adjusted/delayed-mode data only.",harmful_algal_bloom_hab_support,"{'application_type': 'harmful_algal_bloom_hab_support', 'region_mode': 'bbox', 'bbox': [20, 120, -50, 25], 'time_mode': 'range', 'start': '2021-01-01', 'end': '2021-02-28', 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 1000, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
"Compute oxygen minimum zone extent in bbox lon[20,120] lat[-50,25] during 2022 down to 2000m using adjusted/delayed-mode data only.",oxygen_minimum_zone_extent,"{'application_type': 'oxygen_minimum_zone_extent', 'region_mode': 'bbox', 'bbox': [20, 120, -50, 25], 'time_mode': 'year', 'year': 2022, 'depth_mode': 'max_depth_m', 'max_depth_m': 2000, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
"Analyze ocean acidification ph anomaly in bbox lon[20,120] lat[-50,25] from 2022-07 to 2022-09 down to 700m including real-time data (warn on low QC).",ocean_acidification_ph_anomaly,"{'application_type': 'ocean_acidification_ph_anomaly', 'region_mode': 'bbox', 'bbox': [20, 120, -50, 25], 'time_mode': 'range', 'start': '2022-07-01', 'end': '2022-09-28', 'depth_mode': 'max_depth_m', 'max_depth_m': 700, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
