query_text,application_type,application_spec_json,execution_plan_json
"Report mixed layer depth index in bounding box lon[-80,0] lat[0,65] during 2021 up to 2000 dbar pressure including real-time data.",mixed_layer_depth_index,"{""application_type"": ""mixed_layer_depth_index"", ""required_variables"": [], ""region_mode"": ""bbox"", ""region_name"": null, ""bbox"": [-80.0, 0.0, 0.0, 65.0], ""point"": null, ""radius_km"": null, ""time_mode"": ""year"", ""year"": 2021, ""start_date"": null, ""end_date"": null, ""depth_mode"": ""max_pressure_dbar"", ""max_depth_m"": null, ""max_pressure_dbar"": 2000.0, ""qc_policy"": ""mixed_with_warnings"", ""derived_indicators"": [], ""output_format"": ""table"", ""evidence_policy"": ""raw_only""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
Compute ocean heat content time series in the North Atlantic from 2021-01 to 2021-02 up to 2000 dbar pressure including real-time data.,ocean_heat_content_timeseries,"{""application_type"": ""ocean_heat_content_timeseries"", ""required_variables"": [""TEMP"", ""PRES""], ""region_mode"": ""named"", ""region_name"": ""North Atlantic"", ""bbox"": null, ""point"": null, ""radius_km"": null, ""time_mode"": ""range"", ""year"": null, ""start_date"": ""2021-01-01"", ""end_date"": ""2021-02-28"", ""depth_mode"": ""max_pressure_dbar"", ""max_depth_m"": null, ""max_pressure_dbar"": 2000.0, ""qc_policy"": ""mixed_with_warnings"", ""derived_indicators"": [""OHC_0_700"", ""OHC_0_2000""], ""output_format"": ""timeseries"", ""evidence_policy"": ""intermediate_artifacts""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
"Investigate oxygen minimum zone extent in bounding box lon[-80,0] lat[0,65] from 2021-06 to 2021-08 down to 1000m depth using adjusted/delayed-mode data only.",oxygen_minimum_zone_extent,"{""application_type"": ""oxygen_minimum_zone_extent"", ""required_variables"": [], ""region_mode"": ""bbox"", ""region_name"": null, ""bbox"": [-80.0, 0.0, 0.0, 65.0], ""point"": null, ""radius_km"": null, ""time_mode"": ""range"", ""year"": null, ""start_date"": ""2021-06-01"", ""end_date"": ""2021-08-28"", ""depth_mode"": ""max_depth_m"", ""max_depth_m"": 1000.0, ""max_pressure_dbar"": null, ""qc_policy"": ""prefer_adjusted"", ""derived_indicators"": [], ""output_format"": ""table"", ""evidence_policy"": ""raw_only""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
Estimate hurricane ocean initialization metrics in the Indian Ocean from 2020-09 to 2020-10 up to 1000 dbar pressure using adjusted/delayed-mode data only.,hurricane_ocean_initialization_metrics,"{""application_type"": ""hurricane_ocean_initialization_metrics"", ""required_variables"": [""TEMP"", ""SAL"", ""PRES""], ""region_mode"": ""named"", ""region_name"": ""Indian Ocean"", ""bbox"": null, ""point"": null, ""radius_km"": null, ""time_mode"": ""range"", ""year"": null, ""start_date"": ""2020-09-01"", ""end_date"": ""2020-10-28"", ""depth_mode"": ""max_pressure_dbar"", ""max_depth_m"": null, ""max_pressure_dbar"": 1000.0, ""qc_policy"": ""prefer_adjusted"", ""derived_indicators"": [""upper_ocean_heat_content_proxy"", ""mld"", ""stratification""], ""output_format"": ""table"", ""evidence_policy"": ""intermediate_artifacts""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
Estimate hurricane ocean initialization metrics in the Indian Ocean during 2020 down to 1000m depth including real-time data.,hurricane_ocean_initialization_metrics,"{""application_type"": ""hurricane_ocean_initialization_metrics"", ""required_variables"": [""TEMP"", ""SAL"", ""PRES""], ""region_mode"": ""named"", ""region_name"": ""Indian Ocean"", ""bbox"": null, ""point"": null, ""radius_km"": null, ""time_mode"": ""year"", ""year"": 2020, ""start_date"": null, ""end_date"": null, ""depth_mode"": ""max_depth_m"", ""max_depth_m"": 1000.0, ""max_pressure_dbar"": null, ""qc_policy"": ""mixed_with_warnings"", ""derived_indicators"": [""upper_ocean_heat_content_proxy"", ""mld"", ""stratification""], ""output_format"": ""table"", ""evidence_policy"": ""raw_only""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
Analyze mixed layer depth index in the South Atlantic from 2025-03 to 2025-05 down to 1000m depth including real-time data.,mixed_layer_depth_index,"{""application_type"": ""mixed_layer_depth_index"", ""required_variables"": [], ""region_mode"": ""named"", ""region_name"": ""South Atlantic"", ""bbox"": null, ""point"": null, ""radius_km"": null, ""time_mode"": ""range"", ""year"": null, ""start_date"": ""2025-03-01"", ""end_date"": ""2025-05-28"", ""depth_mode"": ""max_depth_m"", ""max_depth_m"": 1000.0, ""max_pressure_dbar"": null, ""qc_policy"": ""mixed_with_warnings"", ""derived_indicators"": [], ""output_format"": ""table"", ""evidence_policy"": ""raw_only""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
"Analyze thermocline depth index in bounding box lon[20,120] lat[-50,25] during 2021 down to 700m depth including real-time data.",thermocline_depth_index,"{""application_type"": ""thermocline_depth_index"", ""required_variables"": [], ""region_mode"": ""bbox"", ""region_name"": null, ""bbox"": [20.0, 120.0, -50.0, 25.0], ""point"": null, ""radius_km"": null, ""time_mode"": ""year"", ""year"": 2021, ""start_date"": null, ""end_date"": null, ""depth_mode"": ""max_depth_m"", ""max_depth_m"": 700.0, ""max_pressure_dbar"": null, ""qc_policy"": ""mixed_with_warnings"", ""derived_indicators"": [], ""output_format"": ""table"", ""evidence_policy"": ""raw_only""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
"Assess deoxygenation and acidification risk in bounding box lon[-80,0] lat[0,65] during 2023 down to 1000m depth using adjusted/delayed-mode data only.",bgc_ocean_health_scores,"{""application_type"": ""bgc_ocean_health_scores"", ""required_variables"": [""DOXY"", ""PH_IN_SITU_TOTAL"", ""PRES""], ""region_mode"": ""bbox"", ""region_name"": null, ""bbox"": [-80.0, 0.0, 0.0, 65.0], ""point"": null, ""radius_km"": null, ""time_mode"": ""year"", ""year"": 2023, ""start_date"": null, ""end_date"": null, ""depth_mode"": ""max_depth_m"", ""max_depth_m"": 1000.0, ""max_pressure_dbar"": null, ""qc_policy"": ""prefer_adjusted"", ""derived_indicators"": [""oxygen_anomaly"", ""pH_anomaly"", ""risk_score""], ""output_format"": ""table"", ""evidence_policy"": ""raw_only""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
Find floats/profiles in the North Atlantic from 2021-09 to 2021-11 that match: strong stratification and warm subsurface.,semantic_retrieval_floats_profiles,"{""application_type"": ""semantic_retrieval_floats_profiles"", ""required_variables"": [], ""region_mode"": ""named"", ""region_name"": ""North Atlantic"", ""bbox"": null, ""point"": null, ""radius_km"": null, ""time_mode"": ""range"", ""year"": null, ""start_date"": ""2021-09-01"", ""end_date"": ""2021-11-28"", ""depth_mode"": ""max_pressure_dbar"", ""max_depth_m"": null, ""max_pressure_dbar"": 1000.0, ""qc_policy"": ""mixed_with_warnings"", ""derived_indicators"": [], ""output_format"": ""ranked_list"", ""evidence_policy"": ""raw_only""}","{""steps"": [""retrieval_chunk"", ""evidence_and_reporting_chunk""]}"
Report thermocline depth index in the Indian Ocean from 2020-03 to 2020-04 up to 1000 dbar pressure including real-time data.,thermocline_depth_index,"{""application_type"": ""thermocline_depth_index"", ""required_variables"": [], ""region_mode"": ""named"", ""region_name"": ""Indian Ocean"", ""bbox"": null, ""point"": null, ""radius_km"": null, ""time_mode"": ""range"", ""year"": null, ""start_date"": ""2020-03-01"", ""end_date"": ""2020-04-28"", ""depth_mode"": ""max_pressure_dbar"", ""max_depth_m"": null, ""max_pressure_dbar"": 1000.0, ""qc_policy"": ""mixed_with_warnings"", ""derived_indicators"": [], ""output_format"": ""table"", ""evidence_policy"": ""raw_only""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
"Report oxygen minimum zone extent in bounding box lon[20,120] lat[-50,25] from 2020-02 to 2020-04 up to 1000 dbar pressure using adjusted/delayed-mode data only.",oxygen_minimum_zone_extent,"{""application_type"": ""oxygen_minimum_zone_extent"", ""required_variables"": [], ""region_mode"": ""bbox"", ""region_name"": null, ""bbox"": [20.0, 120.0, -50.0, 25.0], ""point"": null, ""radius_km"": null, ""time_mode"": ""range"", ""year"": null, ""start_date"": ""2020-02-01"", ""end_date"": ""2020-04-28"", ""depth_mode"": ""max_pressure_dbar"", ""max_depth_m"": null, ""max_pressure_dbar"": 1000.0, ""qc_policy"": ""prefer_adjusted"", ""derived_indicators"": [], ""output_format"": ""table"", ""evidence_policy"": ""raw_only""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
"Compute ocean heat content time series in bounding box lon[20,120] lat[-50,25] from 2022-03 to 2022-04 up to 1000 dbar pressure including real-time data.",ocean_heat_content_timeseries,"{""application_type"": ""ocean_heat_content_timeseries"", ""required_variables"": [""TEMP"", ""PRES""], ""region_mode"": ""bbox"", ""region_name"": null, ""bbox"": [20.0, 120.0, -50.0, 25.0], ""point"": null, ""radius_km"": null, ""time_mode"": ""range"", ""year"": null, ""start_date"": ""2022-03-01"", ""end_date"": ""2022-04-28"", ""depth_mode"": ""max_pressure_dbar"", ""max_depth_m"": null, ""max_pressure_dbar"": 1000.0, ""qc_policy"": ""mixed_with_warnings"", ""derived_indicators"": [""OHC_0_700"", ""OHC_0_2000""], ""output_format"": ""timeseries"", ""evidence_policy"": ""raw_only""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
Assess deoxygenation and acidification risk in the North Atlantic from 2021-09 to 2021-10 down to 2000m depth using adjusted/delayed-mode data only.,bgc_ocean_health_scores,"{""application_type"": ""bgc_ocean_health_scores"", ""required_variables"": [""DOXY"", ""PH_IN_SITU_TOTAL"", ""PRES""], ""region_mode"": ""named"", ""region_name"": ""North Atlantic"", ""bbox"": null, ""point"": null, ""radius_km"": null, ""time_mode"": ""range"", ""year"": null, ""start_date"": ""2021-09-01"", ""end_date"": ""2021-10-28"", ""depth_mode"": ""max_depth_m"", ""max_depth_m"": 2000.0, ""max_pressure_dbar"": null, ""qc_policy"": ""prefer_adjusted"", ""derived_indicators"": [""oxygen_anomaly"", ""pH_anomaly"", ""risk_score""], ""output_format"": ""table"", ""evidence_policy"": ""raw_only""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
Report oxygen minimum zone extent in the North Atlantic from 2024-02 to 2024-04 up to 2000 dbar pressure including real-time data.,oxygen_minimum_zone_extent,"{""application_type"": ""oxygen_minimum_zone_extent"", ""required_variables"": [], ""region_mode"": ""named"", ""region_name"": ""North Atlantic"", ""bbox"": null, ""point"": null, ""radius_km"": null, ""time_mode"": ""range"", ""year"": null, ""start_date"": ""2024-02-01"", ""end_date"": ""2024-04-28"", ""depth_mode"": ""max_pressure_dbar"", ""max_depth_m"": null, ""max_pressure_dbar"": 2000.0, ""qc_policy"": ""mixed_with_warnings"", ""derived_indicators"": [], ""output_format"": ""table"", ""evidence_policy"": ""intermediate_artifacts""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
"Investigate thermocline depth index in bounding box lon[-70,20] lat[-60,0] during 2024 down to 700m depth including real-time data.",thermocline_depth_index,"{""application_type"": ""thermocline_depth_index"", ""required_variables"": [], ""region_mode"": ""bbox"", ""region_name"": null, ""bbox"": [-70.0, 20.0, -60.0, 0.0], ""point"": null, ""radius_km"": null, ""time_mode"": ""year"", ""year"": 2024, ""start_date"": null, ""end_date"": null, ""depth_mode"": ""max_depth_m"", ""max_depth_m"": 700.0, ""max_pressure_dbar"": null, ""qc_policy"": ""mixed_with_warnings"", ""derived_indicators"": [], ""output_format"": ""table"", ""evidence_policy"": ""raw_only""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
Find floats/profiles in the Indian Ocean during 2021 that match: low oxygen and pH anomalies.,semantic_retrieval_floats_profiles,"{""application_type"": ""semantic_retrieval_floats_profiles"", ""required_variables"": [], ""region_mode"": ""named"", ""region_name"": ""Indian Ocean"", ""bbox"": null, ""point"": null, ""radius_km"": null, ""time_mode"": ""year"", ""year"": 2021, ""start_date"": null, ""end_date"": null, ""depth_mode"": ""max_depth_m"", ""max_depth_m"": 700.0, ""max_pressure_dbar"": null, ""qc_policy"": ""mixed_with_warnings"", ""derived_indicators"": [], ""output_format"": ""ranked_list"", ""evidence_policy"": ""intermediate_artifacts""}","{""steps"": [""retrieval_chunk"", ""evidence_and_reporting_chunk""]}"
"Assess deoxygenation and acidification risk in bounding box lon[-80,0] lat[0,65] during 2022 down to 2000m depth using adjusted/delayed-mode data only.",bgc_ocean_health_scores,"{""application_type"": ""bgc_ocean_health_scores"", ""required_variables"": [""DOXY"", ""PH_IN_SITU_TOTAL"", ""PRES""], ""region_mode"": ""bbox"", ""region_name"": null, ""bbox"": [-80.0, 0.0, 0.0, 65.0], ""point"": null, ""radius_km"": null, ""time_mode"": ""year"", ""year"": 2022, ""start_date"": null, ""end_date"": null, ""depth_mode"": ""max_depth_m"", ""max_depth_m"": 2000.0, ""max_pressure_dbar"": null, ""qc_policy"": ""prefer_adjusted"", ""derived_indicators"": [""oxygen_anomaly"", ""pH_anomaly"", ""risk_score""], ""output_format"": ""table"", ""evidence_policy"": ""intermediate_artifacts""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
"Find floats/profiles in bounding box lon[-80,0] lat[0,65] during 2023 that match: low oxygen and pH anomalies.",semantic_retrieval_floats_profiles,"{""application_type"": ""semantic_retrieval_floats_profiles"", ""required_variables"": [], ""region_mode"": ""bbox"", ""region_name"": null, ""bbox"": [-80.0, 0.0, 0.0, 65.0], ""point"": null, ""radius_km"": null, ""time_mode"": ""year"", ""year"": 2023, ""start_date"": null, ""end_date"": null, ""depth_mode"": ""max_depth_m"", ""max_depth_m"": 2000.0, ""max_pressure_dbar"": null, ""qc_policy"": ""prefer_adjusted"", ""derived_indicators"": [], ""output_format"": ""ranked_list"", ""evidence_policy"": ""raw_only""}","{""steps"": [""retrieval_chunk"", ""evidence_and_reporting_chunk""]}"
Report mixed layer depth index in the North Atlantic from 2022-02 to 2022-03 down to 2000m depth using adjusted/delayed-mode data only.,mixed_layer_depth_index,"{""application_type"": ""mixed_layer_depth_index"", ""required_variables"": [], ""region_mode"": ""named"", ""region_name"": ""North Atlantic"", ""bbox"": null, ""point"": null, ""radius_km"": null, ""time_mode"": ""range"", ""year"": null, ""start_date"": ""2022-02-01"", ""end_date"": ""2022-03-28"", ""depth_mode"": ""max_depth_m"", ""max_depth_m"": 2000.0, ""max_pressure_dbar"": null, ""qc_policy"": ""prefer_adjusted"", ""derived_indicators"": [], ""output_format"": ""table"", ""evidence_policy"": ""intermediate_artifacts""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
Assess deoxygenation and acidification risk in the North Atlantic during 2024 up to 2000 dbar pressure including real-time data.,bgc_ocean_health_scores,"{""application_type"": ""bgc_ocean_health_scores"", ""required_variables"": [""DOXY"", ""PH_IN_SITU_TOTAL"", ""PRES""], ""region_mode"": ""named"", ""region_name"": ""North Atlantic"", ""bbox"": null, ""point"": null, ""radius_km"": null, ""time_mode"": ""year"", ""year"": 2024, ""start_date"": null, ""end_date"": null, ""depth_mode"": ""max_pressure_dbar"", ""max_depth_m"": null, ""max_pressure_dbar"": 2000.0, ""qc_policy"": ""mixed_with_warnings"", ""derived_indicators"": [""oxygen_anomaly"", ""pH_anomaly"", ""risk_score""], ""output_format"": ""table"", ""evidence_policy"": ""raw_only""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
Assess deoxygenation and acidification risk in the North Atlantic during 2023 down to 200m depth using adjusted/delayed-mode data only.,bgc_ocean_health_scores,"{""application_type"": ""bgc_ocean_health_scores"", ""required_variables"": [""DOXY"", ""PH_IN_SITU_TOTAL"", ""PRES""], ""region_mode"": ""named"", ""region_name"": ""North Atlantic"", ""bbox"": null, ""point"": null, ""radius_km"": null, ""time_mode"": ""year"", ""year"": 2023, ""start_date"": null, ""end_date"": null, ""depth_mode"": ""max_depth_m"", ""max_depth_m"": 200.0, ""max_pressure_dbar"": null, ""qc_policy"": ""prefer_adjusted"", ""derived_indicators"": [""oxygen_anomaly"", ""pH_anomaly"", ""risk_score""], ""output_format"": ""table"", ""evidence_policy"": ""intermediate_artifacts""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
"Build sound speed profile inputs for underwater acoustics in bounding box lon[-70,20] lat[-60,0] during 2023 up to 2000 dbar pressure including real-time data.",acoustic_sound_speed_profile_inputs,"{""application_type"": ""acoustic_sound_speed_profile_inputs"", ""required_variables"": [""TEMP"", ""SAL"", ""PRES""], ""region_mode"": ""bbox"", ""region_name"": null, ""bbox"": [-70.0, 20.0, -60.0, 0.0], ""point"": null, ""radius_km"": null, ""time_mode"": ""year"", ""year"": 2023, ""start_date"": null, ""end_date"": null, ""depth_mode"": ""max_pressure_dbar"", ""max_depth_m"": null, ""max_pressure_dbar"": 2000.0, ""qc_policy"": ""mixed_with_warnings"", ""derived_indicators"": [""sound_speed_profile_proxy""], ""output_format"": ""table"", ""evidence_policy"": ""raw_only""}","{""steps"": [""retrieval_chunk"", ""feature_composer_chunk"", ""domain_metric_chunk"", ""evidence_and_reporting_chunk""]}"
